hour,session_count,total_kwh,hour_of_day,day_of_week,month,is_weekend
2019-01-18 05:00:00+00:00,1,0.823,5,4,1,0
2019-01-18 06:00:00+00:00,0,0.0,6,4,1,0
2019-01-18 07:00:00+00:00,0,0.0,7,4,1,0
2019-01-18 08:00:00+00:00,0,0.0,8,4,1,0
2019-01-18 09:00:00+00:00,0,0.0,9,4,1,0
2019-01-18 10:00:00+00:00,0,0.0,10,4,1,0
2019-01-18 11:00:00+00:00,0,0.0,11,4,1,0
2019-01-18 12:00:00+00:00,0,0.0,12,4,1,0
2019-01-18 13:00:00+00:00,2,53.484,13,4,1,0
2019-01-18 14:00:00+00:00,0,0.0,14,4,1,0
2019-01-18 15:00:00+00:00,2,13.451,15,4,1,0
2019-01-18 16:00:00+00:00,7,122.267,16,4,1,0
2019-01-18 17:00:00+00:00,6,43.546,17,4,1,0
2019-01-18 18:00:00+00:00,6,44.96,18,4,1,0
2019-01-18 19:00:00+00:00,3,33.556,19,4,1,0
2019-01-18 20:00:00+00:00,7,70.893,20,4,1,0
2019-01-18 21:00:00+00:00,3,38.805,21,4,1,0
2019-01-18 22:00:00+00:00,1,0.7,22,4,1,0
2019-01-18 23:00:00+00:00,0,0.0,23,4,1,0
2019-01-19 00:00:00+00:00,2,19.568,0,5,1,1
2019-01-19 01:00:00+00:00,2,11.447,1,5,1,1
2019-01-19 02:00:00+00:00,1,0.919,2,5,1,1
2019-01-19 03:00:00+00:00,0,0.0,3,5,1,1
2019-01-19 04:00:00+00:00,4,126.601,4,5,1,1
2019-01-19 05:00:00+00:00,0,0.0,5,5,1,1
2019-01-19 06:00:00+00:00,0,0.0,6,5,1,1
2019-01-19 07:00:00+00:00,0,0.0,7,5,1,1
2019-01-19 08:00:00+00:00,0,0.0,8,5,1,1
2019-01-19 09:00:00+00:00,0,0.0,9,5,1,1
2019-01-19 10:00:00+00:00,0,0.0,10,5,1,1
2019-01-19 11:00:00+00:00,0,0.0,11,5,1,1
2019-01-19 12:00:00+00:00,0,0.0,12,5,1,1
2019-01-19 13:00:00+00:00,0,0.0,13,5,1,1
2019-01-19 14:00:00+00:00,0,0.0,14,5,1,1
2019-01-19 15:00:00+00:00,1,5.205,15,5,1,1
