_id,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,siteID,stationID,spaceID,timezone,userInputs
5c427db1f9af8b1e1a53829f,2019-01-02 20:01:24+00:00,2019-01-03 04:02:06+00:00,2019-01-02 22:02:22+00:00,5.132,0002,2-39-88-438,CA-502,America/Los_Angeles,"[{'userID': 1094, 'milesRequested': 20, 'WhPerMile': 400, 'minutesAvailable': 123, 'modifiedAt': 'Wed, 02 Jan 2019 20:01:58 GMT', 'paymentRequired': True, 'requestedDeparture': 'Wed, 02 Jan 2019 22:04:24 GMT', 'kWhRequested': 8.0}]"
5c427db1f9af8b1e1a5382a0,2019-01-02 20:22:06+00:00,2019-01-03 03:25:16+00:00,2019-01-03 00:01:12+00:00,21.416,0002,2-39-90-440,CA-500,America/Los_Angeles,"[{'userID': 1104, 'milesRequested': 100, 'WhPerMile': 250, 'minutesAvailable': 272, 'modifiedAt': 'Wed, 02 Jan 2019 20:22:13 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 03 Jan 2019 00:54:06 GMT', 'kWhRequested': 25.0}]"
5c427db1f9af8b1e1a5382a1,2019-01-02 21:26:10+00:00,2019-01-03 03:09:09+00:00,2019-01-02 23:22:45+00:00,4.687,0002,2-39-78-365,CA-321,America/Los_Angeles,"[{'userID': 1083, 'milesRequested': 20, 'WhPerMile': 400, 'minutesAvailable': 79, 'modifiedAt': 'Wed, 02 Jan 2019 21:26:30 GMT', 'paymentRequired': True, 'requestedDeparture': 'Wed, 02 Jan 2019 22:45:10 GMT', 'kWhRequested': 8.0}]"
5c427db1f9af8b1e1a5382a2,2019-01-02 21:52:58+00:00,2019-01-03 03:15:32+00:00,2019-01-03 01:44:50+00:00,10.272,0002,2-39-78-364,CA-495,America/Los_Angeles,"[{'userID': 777, 'milesRequested': 40, 'WhPerMile': 600, 'minutesAvailable': 180, 'modifiedAt': 'Wed, 02 Jan 2019 21:54:50 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 03 Jan 2019 00:52:58 GMT', 'kWhRequested': 24.0}]"
5c427db1f9af8b1e1a5382a3,2019-01-02 21:53:56+00:00,2019-01-03 03:59:10+00:00,2019-01-03 01:44:39+00:00,12.433,0002,2-39-92-442,CA-498,America/Los_Angeles,"[{'userID': 1272, 'milesRequested': 50, 'WhPerMile': 400, 'minutesAvailable': 383, 'modifiedAt': 'Wed, 02 Jan 2019 21:54:19 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 03 Jan 2019 04:16:56 GMT', 'kWhRequested': 20.0}]"
5c427db1f9af8b1e1a5382a4,2019-01-03 00:22:31+00:00,2019-01-03 00:47:17+00:00,2019-01-03 00:47:03+00:00,0.685,0002,2-39-138-29,CA-304,America/Los_Angeles,
5c427db1f9af8b1e1a5382a5,2019-01-03 00:23:47+00:00,2019-01-03 02:03:39+00:00,2019-01-03 02:03:36+00:00,9.084,0002,2-39-129-17,CA-307,America/Los_Angeles,"[{'userID': 609, 'milesRequested': 90, 'WhPerMile': 357, 'minutesAvailable': 128, 'modifiedAt': 'Thu, 03 Jan 2019 00:24:51 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 03 Jan 2019 02:31:47 GMT', 'kWhRequested': 32.13}, {'userID': 609, 'milesRequested': 90, 'WhPerMile': 357, 'minutesAvailable': 135, 'modifiedAt': 'Thu, 03 Jan 2019 00:31:51 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 03 Jan 2019 02:38:47 GMT', 'kWhRequested': 32.13}]"
5c427db1f9af8b1e1a5382a6,2019-01-03 00:37:01+00:00,2019-01-03 14:14:12+00:00,2019-01-03 05:19:02+00:00,15.416,0002,2-39-130-31,CA-306,America/Los_Angeles,"[{'userID': 838, 'milesRequested': 60, 'WhPerMile': 433, 'minutesAvailable': 277, 'modifiedAt': 'Thu, 03 Jan 2019 00:37:12 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 03 Jan 2019 05:14:01 GMT', 'kWhRequested': 25.98}]"
5c427db1f9af8b1e1a5382a7,2019-01-03 01:48:12+00:00,2019-01-03 02:51:27+00:00,2019-01-03 02:51:22+00:00,3.328,0002,2-39-139-28,CA-303,America/Los_Angeles,"[{'userID': 675, 'milesRequested': 20, 'WhPerMile': 313, 'minutesAvailable': 109, 'modifiedAt': 'Thu, 03 Jan 2019 01:49:02 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 03 Jan 2019 03:37:12 GMT', 'kWhRequested': 6.26}, {'userID': 675, 'milesRequested': 20, 'WhPerMile': 313, 'minutesAvailable': 109, 'modifiedAt': 'Thu, 03 Jan 2019 01:50:29 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 03 Jan 2019 03:37:12 GMT', 'kWhRequested': 6.26}]"
5c427db1f9af8b1e1a5382a8,2019-01-03 02:49:07+00:00,2019-01-03 04:51:44+00:00,2019-01-03 04:51:40+00:00,11.042,0002,2-39-131-30,CA-305,America/Los_Angeles,"[{'userID': 754, 'milesRequested': 50, 'WhPerMile': 300, 'minutesAvailable': 170, 'modifiedAt': 'Thu, 03 Jan 2019 02:49:19 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 03 Jan 2019 05:39:07 GMT', 'kWhRequested': 15.0}, {'userID': 754, 'milesRequested': 50, 'WhPerMile': 300, 'minutesAvailable': 170, 'modifiedAt': 'Thu, 03 Jan 2019 04:18:16 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 03 Jan 2019 05:39:07 GMT', 'kWhRequested': 15.0}]"
